Text,Family,Evidence,TopCorrect,AnyCorrect,Groundings,,,,,,,,,,,,,,,,
HIV-1,0,Transcription of the human immunodeficiency virus type 1 (HIV-1) genome depends on the intracellular environment where the integrate viral DNA is regulated by a complex interplay among viral regulator,,,NCIT/C14220/human immunodeficiency virus 1/0.70732,,,,,,,,,,,,,,,,
RANDOM,0,Pooled odds ratio (OR) and 95% confidence interval (CI) were calculated using random- or fixed-effects model.,,,EFO/0004189/DNA shearing/0.70374,,,,,,,,,,,,,,,,
TCA8113,0,"In addition, cantharidin induced cell apoptosis and activated caspase-9/3 activities of TSCC Tca8113 cells.",,,CVCL/6851/Tca8113/0.85013,,,,,,,,,,,,,,,,
ATP,0,Their therapeutic action results primarily from their ability to inhibit ATP-sensitive potassium (KATP) channels in the plasma membrane of pancreatic beta cells and thereby stimulate insulin release.,,,CHEBI/15422/ATP/0.85366,,,,,,,,,,,,,,,,
rearrangement,0,The apparent flexibility of the TRM suggests that conformational rearrangements may accompany formation of CycT1-Tat-TAR ternary complexes and may contribute to different TAR recognition strategies in,,,NCIT/C21069/DNA sequence rearrangement/0.70732,,,,,,,,,,,,,,,,
COMPLEX,0,"We detected PAI-1.FSAP complexes in addition to high levels of extracellular RNA, an important FSAP cofactor, in bronchoalveolar lavage fluids from patients with acute respiratory distress syndrome.",0,0,,,,,,,,,,,,,,,,,
chromosome,0,We have mapped the Ah receptor nuclear translocator (ARNT) gene to a conserved linkage group located on mouse chromosome 3 and human chromosome 1.,,,UP/SL-0468/Chromosome/0.85366,GO/0005694/chromosome/0.85366,,,,,,,,,,,,,,,
AD,0,"Ataxin 1 (ATXN1) is one of these four AD candidate genes and has been indicated to be the disease gene for spinocerebellar ataxia type 1, which is also a neurodegenerative disease.",,,XFAM/PF09793/AD/0.70732,,,,,,,,,,,,,,,,
CANCER,0,"KLK11 mRNA expression was detected in various human cancer tissues including breast, lung, colon, prostate, pancreas, and ovarian carcinoma.",0,0,,,,,,,,,,,,,,,,,
cleavage,0,RIG-I RNA helicase activation of IRF3 transcription factor is negatively regulated by caspase-8-mediated cleavage of the RIP1 protein.,,,NCIT/C73482/chemical cleavage/0.70732,,,,,,,,,,,,,,,,
beclin 1,0,"In mechanistic studies, we show that TRIMs associate with autophagy factors and act as platforms assembling ULK1 and Beclin 1 in their activated states.",,,HGNC/1034/beclin 1/0.85013,NCIT/C94671/beclin-1/0.70379,,,,,,,,,,,,,,,
ligand,0,"In recent years, several candidate protein ligands for APP, including F-spondin, Reelin, β1 Integrin, Contactins, Lingo-1, and Pancortin, have been reported.",,,CHEBI/52214/ligand/0.85366,,,,,,,,,,,,,,,,
hepatocellular adenoma,0,TERT promoter mutations were not found in 15 hepatocellular adenomas and 52 intrahepatic cholangiocarcinomas.,,,NCIT/C3758/hepatocellular adenoma/0.85366,,,,,,,,,,,,,,,,
PAI-1,0,Residues Arg(76) and Lys(80) in PAI-1 were key elements mediating binding of nucleic acids to PAI-1.,,,UP/P05121/Plasminogen activator inhibitor 1/0.85366,UP/P22777/Plasminogen activator inhibitor 1/0.85366,NCIT/C16947/plasminogen activator inhibitor-1/0.70732,NCIT/C51407/SERPINE1/0.70732,HGNC/8583/serpin family E member 1/0.26825,,,,,,,,,,,,
H,0,Adult multiple-trauma patients (n = 113) admitted to the intensive care unit (ICU) in the first 24 h after trauma were included.,0,0,,,,,,,,,,,,,,,,,
POINT,0,"The proliferation activity, expression of iNOS mRNA/protein and NO production of human skin fibroblasts at different time points after irradiation of different dosages of UVA were measured by MTT assa",0,0,,,,,,,,,,,,,,,,,
STAT1,0,"Here, we show that STAT1 interacts with PPARγ in the induction of CD36 expression and foam cell formation by 15(S)-HETE.",,,HGNC/11362/signal transducer and activator of transcription 1/0.85366,NCIT/C52151/STAT1/0.85366,NCIT/C28659/signal transducer and activator of transcription-1/0.70732,NCIT/C28668/signal transducer and activator of transcription-5A/0.70732,,,,,,,,,,,,,
cytoplasm,0,"Autophagy, a homeostatic process whereby eukaryotic cells target cytoplasmic cargo for degradation, plays a broad role in health and disease states.",,,UP/SL-0086/Cytoplasm/0.85366,GO/0005737/cytoplasm/0.85366,,,,,,,,,,,,,,,
TUMORIGENESIS,0,"In order to improve the understanding of the role of TERT promoter mutation in liver tumorigenesis, the mutational status of the TERT promoter was analyzed in 78 hepatocellular carcinomas, 15 hepatoce",0,0,,,,,,,,,,,,,,,,,
interleukin 6,0,"Interleukin 6 (IL-6) plays a crucial role in immunity and fibrosis, both key aspects of SSc.",,,HGNC/6018/interleukin 6/0.85162,NCIT/C20451/interleukin-6/0.70528,,,,,,,,,,,,,,,
SITE,0,"In addition, using molecular biological approaches such as EMSA, supershift EMSA, ChIP, re-ChIP, and promoter-reporter gene assays, we demonstrate that the STAT1 and PPARγ complex binds to the STAT-bi",0,0,,,,,,,,,,,,,,,,,
STATE,0,"Our kinetic isotope effect results, Bronsted analysis, and pH dependence studies employing a range of aryl phosphates clearly indicate a dissociative transition state for the Cdc25A reaction that does",0,0,,,,,,,,,,,,,,,,,
MOLECULE,0,"To test this hypothesis, we have examined the activity of HLM006474 (a small molecule pan-E2F inhibitor) in lung cancer cell lines as a single agent and in combination with other compounds.",0,0,,,,,,,,,,,,,,,,,
tumor suppressor gene,0,"Taken together, these data support the role of SPINT2 as a putative tumor suppressor gene in MB, and further implicate dysregulation of the HGF/MET signaling pathway in the pathogenesis of MB.",,,NCIT/C17362/tumor suppressor gene/0.85366,,,,,,,,,,,,,,,,
atrophy,0,"Interestingly, we show that overexpression of a mutated form of TEAD1 (Y421H) implicated in Sveinsson's chorioretinal atrophy that strongly reduces its interaction with YAP as well as its activation, ",,,NCIT/C79748/atrophy/0.85366,,,,,,,,,,,,,,,,
RESULT,0,"However, the results remain controversial.",0,0,,,,,,,,,,,,,,,,,
VEGFR1,0,A single amino acid substitution in the activation loop defines the decoy characteristic of VEGFR-1/FLT-1.,,,UP/Q8QHL3/Vascular endothelial growth factor receptor 1/0.85366,UP/P17948/Vascular endothelial growth factor receptor 1/0.85366,UP/P35969/Vascular endothelial growth factor receptor 1/0.85366,UP/P53767/Vascular endothelial growth factor receptor 1/0.85366,NCIT/C17975/vascular endothelial growth factor receptor-1/0.70732,NCIT/C52169/FLT1/0.70732,HGNC/3763/fms related tyrosine kinase 1/0.56098,,,,,,,,,,
β-galactosidase,0,"The origin of this activity is the lysosomal β-galactosidase, whose activity has increased high enough to be detected at suboptimal pH.",,,GO/0004565/beta-galactosidase activity/0.85366,UP/P16278/Beta-galactosidase/0.85366,UP/P23780/Beta-galactosidase/0.85366,UP/P83252/Beta-galactosidase/0.85366,NCIT/C107438/beta-galactosidase/0.85366,,,,,,,,,,,,
MIR-214,0,Cantharidin inhibits cell proliferation and promotes apoptosis in tongue squamous cell carcinoma through suppression of miR-214 and regulation of p53 and Bcl-2/Bax.,0,0,,,,,,,,,,,,,,,,,
COMPONENT,0,"Indirubin, as the active component of indigo naturalis, inhibits cell proliferation of epidermal keratinocytes.",0,0,,,,,,,,,,,,,,,,,
RESULT,0,"Our results demonstrate for the first time that HRAD9 and Mrad9 are part of a gene family and reveal a new genetic element encoding a product that interacts with multiple, known cell cycle checkpoint ",0,0,,,,,,,,,,,,,,,,,
ITGB3,0,"Therefore, in the present study we investigate the association of TPH2, the rate limiting enzyme in 5-HT biosynthesis and ITGB3, a serotonin quantitative trait locus with ASD in the Indian population.",,,HGNC/6156/integrin subunit beta 3/0.85366,NCIT/C51174/ITGB3/0.85366,NCIT/C38955/integrin beta-3/0.70732,,,,,,,,,,,,,,
tumor,0,The striking predominance of the -124C>T mutation compared with other tumor entities suggest a biological difference of the two hotspot mutations.,,,NCIT/C3262/neoplasm/0.70732,,,,,,,,,,,,,,,,
STRUCTURE,0,"This suggests that residue 440 in the C4 region, which is close to the V3 loop in the three-dimensional structure, is critical in determining which second receptor is used.",0,0,,,,,,,,,,,,,,,,,
CRIK,0,Negative control of keratinocyte differentiation by Rho/CRIK signaling coupled with up-regulation of KyoT1/2 (FHL1) expression.,,,UP/O14578/Citron Rho-interacting kinase/0.85366,UP/P49025/Citron Rho-interacting kinase/0.85366,HGNC/1985/citron rho-interacting serine/threonine kinase/0.56098,,,,,,,,,,,,,,
MECHANISM,0,"We used mouse breast carcinoma cells metastasize to brain (4TBM), liver (4TLM), and heart (4THM) and explored the extra- and intracellular mechanisms effecting MIP-2 secretion using CXCR2 antagonist a",0,0,,,,,,,,,,,,,,,,,
COMPONENT,0,Systemic sclerosis (SSc) is a genetically complex autoimmune disease; the genetic component has not been fully defined.,0,0,,,,,,,,,,,,,,,,,
biogenesis,0,"Meanwhile, lysosome biogenesis was actively ongoing only in senescence progression, indicating that the difference in the lysosome contents may largely be due to lysosome biogenesis.",,,NCIT/C17702/biosynthesis/0.70732,,,,,,,,,,,,,,,,
P16,0,The results of our meta-analysis demonstrated that the frequencies of p15 (INK4b) and p16 (INK4a) promoter methylation in cancer samples were significantly higher than in normal samples  (p15 (INK4b) ,,,NCIT/C49511/CDKN2A/0.70379,HGNC/1787/cyclin dependent kinase inhibitor 2A/0.56098,UP/P0C044/F protein/0.56098,UP/P0C045/F protein/0.56098,UP/Q77JX3/Suppressor of RNA silencing/0.55745,,,,,,,,,,,,
NF-kappaB,1,"Acetylated p50 increases its DNA binding properties, as evident by streptavidin/biotin pull-down assays when using labeled NF-kappaB oligonucleotides.",1,1,BE/NFkappaB/NFkappaB/1.0,NCIT/C94298/NFKB1/0.70732,NCIT/C17686/NF-kappa-B-p65 protein/0.70732,HGNC/7794/nuclear factor kappa B subunit 1/0.56098,,,,,,,,,,,,,
oxidative stress,0,"In this review, we will discuss in detail the importance of pharmacologically manipulating the HO-1 pathway and its products for conferring protection against a variety of conditions that are characte",,,NCIT/C17741/oxidative stress/0.85366,,,,,,,,,,,,,,,,
rab,1,"Here we have cloned and characterized a human melanophilin homolog, which belongs to the rabphilin3/granuphilin-like Rab effector family.",1,1,BE/RAB/RAB/0.99647,FA/03661/rab family/0.85013,HGNC/5175/ArfGAP with FG repeats 1/0.55745,UP/P17610/GTP-binding protein ypt3/0.55745,,,,,,,,,,,,,
HYPERTROPHY,0,Parathyroid hormone (PTH) regulates endochondral ossification by inhibiting chondrocyte differentiation toward hypertrophy.,0,0,,,,,,,,,,,,,,,,,
ApoA,1,"Transgenic mice containing the normal or mutated apoB transgenes were created, and the covalent association of mutated apoB with apo(a) was assessed in mice transgenic for both apoB and apo(a).",1,1,BE/APOA/APOA/1.0,NCIT/C105952/apolipoprotein A/0.69971,,,,,,,,,,,,,,,
MECHANISM,0,"The diabetes-associated allele in TCF7L2 increases the rate of conversion to diabetes; however, the mechanism by which this occurs remains elusive.",0,0,,,,,,,,,,,,,,,,,
INFECTION,0,"At the time of suspected infection, infants with an infection demonstrated a lower percentage of HLA-DR+ monocytes (P = 0.02, area under the curve (AUC) 0.78), higher percentage of CD64+ neutrophils (",0,0,,,,,,,,,,,,,,,,,
immunity,0,"Interleukin 6 (IL-6) plays a crucial role in immunity and fibrosis, both key aspects of SSc.",,,NCIT/C16710/immunity/0.85366,,,,,,,,,,,,,,,,
protease,1,"In contrast, pretreatment of cells with inhibitors of lysosomal proteases and nonproteasomal cysteine proteases had very little effect on the stability of the proteins.",1,1,BE/Protease/Protease/1.0,UP/P03252/Protease/0.85366,UP/P30202/Protease/0.85366,NCIT/C16965/protease/0.85366,UP/etc/None/0.12195,,,,,,,,,,,,
CELL,0,"Metabolically unstable proteins are involved in a multitude of regulatory networks, including those that control cell signaling, the cell cycle and in many responses to physiological stress.",0,0,,,,,,,,,,,,,,,,,
autophagy,0,"Thus, our study establishes that TRIMs can function both as regulators of autophagy and as autophagic cargo receptors, and reveals a basis for selective autophagy in mammalian cells.",,,GO/0006914/autophagy/0.85366,NCIT/C71427/autophagy/0.85366,GO/0016236/macroautophagy/0.41463,,,,,,,,,,,,,,
CONSTITUTION,0,Only reconstitution with arrestin 3-GFP but not arrestin 2-GFP rescued internalization of CCR7/CCL19.,0,0,,,,,,,,,,,,,,,,,
FAMILY,0,These results identify MEF2A as a nuclear target for HDAC4-mediated repression and suggests that compartmentalization may be a novel mechanism for controlling the nuclear activity of this new family o,0,0,,,,,,,,,,,,,,,,,
CHAIN,0,"We demonstrate here that, in human monocyte-derived DCs, the RING-CH ubiquitin E3 ligase, membrane-associated RING-CH I (MARCH I), promotes the ubiquitination of the HLA-DR beta-chain.",0,0,,,,,,,,,,,,,,,,,
Th17 cell,0,"We report that Th17 cells highly express the deubiquitinase ubiquitin-specific protease (USP)4, which is essential for maintaining RORγt and Th17 cell function.",,,BTO/0005655/Th17 cell/0.85366,,,,,,,,,,,,,,,,
PCa,0,"Methylation of miR-124-2 and miR-124-3 may serve as a biomarker for AR-negative PCa cells, and overexpression of miR-124 might be of potential therapeutic value for the treatment of PCa.",,,UP/P00299/Plastocyanin A, chloroplastic/0.85366,HGNC/24682/feline leukemia virus subgroup C cellular receptor 1/0.56098,,,,,,,,,,,,,,
DNA repair,0,HLTF is also involved in DNA repair.,,,GO/0006281/DNA repair/0.85366,NCIT/C16513/DNA repair/0.85366,,,,,,,,,,,,,,,
YAP,0,"Interestingly, we show that overexpression of a mutated form of TEAD1 (Y421H) implicated in Sveinsson's chorioretinal atrophy that strongly reduces its interaction with YAP as well as its activation, ",,,NCIT/C96031/YAP1/0.70732,HGNC/30935/YY1 associated protein 1/0.56098,,,,,,,,,,,,,,,
HOSPITAL,0,"We monitored 626 critically ill patients daily from the ICU (intensive care unit) admission to their discharge from hospital, or death.",0,0,,,,,,,,,,,,,,,,,
P21,0,"Interestingly, levels of mutant p53 in Hec1A cells decreased markedly upon treatment with eupatilin, and p53 siRNA significantly increased p21 expression.",,,NCIT/C17783/cyclin-dependent kinase inhibitor-1A/0.70732,NCIT/C49460/CDKN1A/0.70379,HGNC/11616/transcription elongation factor A like 1/0.56098,UP/P38936/Cyclin-dependent kinase inhibitor 1/0.56098,UP/P39689/Cyclin-dependent kinase inhibitor 1/0.56098,UP/Q62092/Neuron-specific protein family member 1/0.56098,UP/P63028/Translationally-controlled tumor protein/0.56098,HGNC/1784/cyclin dependent kinase inhibitor 1A/0.55745,UP/Q9IV52/Movement protein TGB3/0.55745,,,,,,,,
INFECTION,0,Forty-seven infants had study samples collected at enrollment; 26 infants had study samples collected at the time of a suspected infection.,0,0,,,,,,,,,,,,,,,,,
maspin,0,MASPIN expression and location were immunohistochemically determined in 68 consecutive elderly patients with laryngeal carcinoma.,,,NCIT/C17790/maspin/0.85013,HGNC/8949/serpin family B member 5/0.55745,UP/P36952/Serpin B5/0.55745,UP/P70124/Serpin B5/0.55745,UP/B1MTB7/Serpin B5/0.55745,UP/P70564/Serpin B5/0.55745,,,,,,,,,,,
END,0,"52 ADPKD patients were enrolled and followed until the end of the observation period or the primary study endpoint was reached, defined by the combined outcome of decrease of glomerular filtration rat",0,0,,,,,,,,,,,,,,,,,
chemotaxis,0,"Here we investigated the role of SLK in chemotaxis downstream of the tyrosine kinase receptor, HER2/ErbB2/Neu, which is frequently overexpressed in human breast cancers.",,,GO/0006935/chemotaxis/0.85366,NCIT/C16422/chemotaxis/0.85366,,,,,,,,,,,,,,,
PCa,0,"Methylation of miR-124-2 and miR-124-3 may serve as a biomarker for AR-negative PCa cells, and overexpression of miR-124 might be of potential therapeutic value for the treatment of PCa.",,,UP/P00299/Plastocyanin A, chloroplastic/0.85366,HGNC/24682/feline leukemia virus subgroup C cellular receptor 1/0.56098,,,,,,,,,,,,,,
